OBJECT_NAME,NORAD_CAT_ID
SL-7 DEB,952
THOR ABLESTAR R/B,953
SL-7 DEB,954
SL-7 DEB,955
THOR ABLESTAR DEB,956
SAN MARCO 1,957
SCOUT X-4 R/B,958
OPS 6582 (TRANSIT 5E-5),959
SCOUT X-4 DEB,960
OPS 3358,961
SCOUT X-4 DEB,962
EXPLORER 26 (EPE-D),963
OPS 3762,964
OPS 6582 (TRANSIT 5B-5),965
THOR ABLESTAR DEB,966
THOR ABLESTAR DEB,967
COSMOS 52,968
SL-3 R/B,969
SL-3 DEB,970
SL-3 DEB,971
OPS 3928,972
OPS 7040,973
OPS 7040 DEB,974
OPS 7040 DEB,975
SCOUT X-4 DEB,976
SCOUT X-4 DEB,977
TIROS 9,978
DELTA 1 R/B,979
OPS 4703,980
ATLAS AGENA D R/B,981
OPS 3928 DEB,982
COSMOS 53,983
SL-7 R/B,984
SL-7 DEB,985
SL-7 DEB,986
OSO 2,987
DELTA 1 R/B,988
COSMOS 50 DEB,989
COSMOS 50 DEB,990
COSMOS 50 DEB,991
COSMOS 50 DEB,992
COSMOS 50 DEB,993
COSMOS 50 DEB,994
COSMOS 50 DEB,995
COSMOS 50 DEB,996
COSMOS 50 DEB,997
COSMOS 50 DEB,998
COSMOS 50 DEB,999
TITAN 3A DEB (TRUSS),1000
TITAN 3A TRANSTAGE R/B,1001
LES-1,1002
COSMOS 50 DEB,1003
COSMOS 50 DEB,1004
COSMOS 50 DEB,1005
COSMOS 50 DEB,1006
COSMOS 50 DEB,1007
COSMOS 50 DEB,1008
COSMOS 50 DEB,1009
COSMOS 50 DEB,1010
COSMOS 50 DEB,1011
COSMOS 50 DEB,1012
COSMOS 50 DEB,1013
COSMOS 50 DEB,1014
COSMOS 50 DEB,1015
COSMOS 50 DEB,1016
COSMOS 50 DEB,1017
COSMOS 50 DEB,1018
COSMOS 50 DEB,1019
COSMOS 50 DEB,1020
COSMOS 50 DEB,1021
COSMOS 50 DEB,1022
COSMOS 50 DEB,1023
COSMOS 50 DEB,1024
COSMOS 50 DEB,1025
COSMOS 50 DEB,1026
COSMOS 50 DEB,1027
COSMOS 50 DEB,1028
COSMOS 50 DEB,1029
COSMOS 50 DEB,1030
COSMOS 50 DEB,1031
